2017-12-01T21:56:00.000Z,2017-12-01 21:56:00+00:00,long,-2.2487512776510954,btc
,date,tend,MAdif,trade
2017-12-01T23:56:00.000Z,2017-12-01 23:56:00+00:00,long,-2.1712905580898667,btc
,date,tend,MAdif,trade
2017-12-02T01:56:00.000Z,2017-12-02 01:56:00+00:00,long,-1.8482339286655547,btc
,date,tend,MAdif,trade
2017-12-02T03:56:00.000Z,2017-12-02 03:56:00+00:00,long,-1.473299945115425,btc
,date,tend,MAdif,trade
2017-12-02T07:56:00.000Z,2017-12-02 07:56:00+00:00,long,-1.3052762720572542,btc
,date,tend,MAdif,trade
2017-12-03T11:56:00.000Z,2017-12-03 11:56:00+00:00,long,-1.2883341540458115,btc
,date,tend,MAdif,trade
2017-12-03T13:56:00.000Z,2017-12-03 13:56:00+00:00,long,-1.6378298355292698,btc
,date,tend,MAdif,trade
2017-12-03T15:56:00.000Z,2017-12-03 15:56:00+00:00,long,-1.6903964227441337,btc
,date,tend,MAdif,trade
2017-12-03T17:56:00.000Z,2017-12-03 17:56:00+00:00,long,-1.8478146992555233,btc
,date,tend,MAdif,trade
2017-12-04T01:56:00.000Z,2017-12-04 01:56:00+00:00,short,1.3104898917252972,btc
,date,tend,MAdif,trade
2017-12-04T03:56:00.000Z,2017-12-04 03:56:00+00:00,short,1.8881084131080361,btc
,date,tend,MAdif,trade
2017-12-06T05:56:00.000Z,2017-12-06 05:56:00+00:00,short,1.0904938089459582,btc
,date,tend,MAdif,trade
2017-12-06T07:56:00.000Z,2017-12-06 07:56:00+00:00,short,1.4101382848701327,btc
,date,tend,MAdif,trade
2017-12-06T09:56:00.000Z,2017-12-06 09:56:00+00:00,short,1.559294051826332,btc
,date,tend,MAdif,trade
2017-12-06T11:56:00.000Z,2017-12-06 11:56:00+00:00,short,1.6163528257816306,btc
,date,tend,MAdif,trade
2017-12-06T13:56:00.000Z,2017-12-06 13:56:00+00:00,short,1.7236682506148515,btc
,date,tend,MAdif,trade
2017-12-06T15:56:00.000Z,2017-12-06 15:56:00+00:00,short,1.6410337542617226,btc
,date,tend,MAdif,trade
2017-12-06T17:56:00.000Z,2017-12-06 17:56:00+00:00,short,1.6907220963996883,btc
,date,tend,MAdif,trade
2017-12-06T19:56:00.000Z,2017-12-06 19:56:00+00:00,short,1.7652347613647867,btc
,date,tend,MAdif,trade
2017-12-06T21:56:00.000Z,2017-12-06 21:56:00+00:00,short,2.0070580975892427,btc
,date,tend,MAdif,trade
2017-12-06T23:56:00.000Z,2017-12-06 23:56:00+00:00,short,1.7332978144070088,btc
,date,tend,MAdif,trade
